song,artist,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Getting Better - Remastered 2009,The Beatles,3LtOmWpTXLhilL5odoKysR,0.632,0.471,0.0,-7.887,1.0,0.0348,0.313,5.08e-06,0.0712,0.764,121.672,audio_features,3LtOmWpTXLhilL5odoKysR,spotify:track:3LtOmWpTXLhilL5odoKysR,https://api.spotify.com/v1/tracks/3LtOmWpTXLhilL5odoKysR,https://api.spotify.com/v1/audio-analysis/3LtOmWpTXLhilL5odoKysR,168120.0,4.0
Lush Life - Remastered,Nat King Cole,6pQj568jDnSUV5AzOObz2X,0.302,0.146,1.0,-16.784,1.0,0.0357,0.819,0.0,0.127,0.125,87.162,audio_features,6pQj568jDnSUV5AzOObz2X,spotify:track:6pQj568jDnSUV5AzOObz2X,https://api.spotify.com/v1/tracks/6pQj568jDnSUV5AzOObz2X,https://api.spotify.com/v1/audio-analysis/6pQj568jDnSUV5AzOObz2X,226907.0,3.0
Love's In Need Of Love Today,Stevie Wonder,2qRpAQoH3aaDTppBN7j0JL,0.631,0.348,5.0,-14.169,0.0,0.0292,0.719,1.14e-06,0.132,0.444,98.7,audio_features,2qRpAQoH3aaDTppBN7j0JL,spotify:track:2qRpAQoH3aaDTppBN7j0JL,https://api.spotify.com/v1/tracks/2qRpAQoH3aaDTppBN7j0JL,https://api.spotify.com/v1/audio-analysis/2qRpAQoH3aaDTppBN7j0JL,425867.0,4.0
Águas De Março,Antônio Carlos Jobim,1CFpxBiLtcnBVIbnmAJCBk,0.649,0.365,3.0,-14.807,1.0,0.116,0.815,0.0,0.117,0.501,143.639,audio_features,1CFpxBiLtcnBVIbnmAJCBk,spotify:track:1CFpxBiLtcnBVIbnmAJCBk,https://api.spotify.com/v1/tracks/1CFpxBiLtcnBVIbnmAJCBk,https://api.spotify.com/v1/audio-analysis/1CFpxBiLtcnBVIbnmAJCBk,214867.0,4.0
Águas De Março,Elis Regina,1CFpxBiLtcnBVIbnmAJCBk,0.649,0.365,3.0,-14.807,1.0,0.116,0.815,0.0,0.117,0.501,143.639,audio_features,1CFpxBiLtcnBVIbnmAJCBk,spotify:track:1CFpxBiLtcnBVIbnmAJCBk,https://api.spotify.com/v1/tracks/1CFpxBiLtcnBVIbnmAJCBk,https://api.spotify.com/v1/audio-analysis/1CFpxBiLtcnBVIbnmAJCBk,214867.0,4.0
It's Only A Paper Moon - Remastered 1999,Nat King Cole,4Z34RJBzz5r3s0IEwdYPAo,0.652,0.323,5.0,-11.548,1.0,0.0766,0.555,0.0,0.0714,0.571,168.398,audio_features,4Z34RJBzz5r3s0IEwdYPAo,spotify:track:4Z34RJBzz5r3s0IEwdYPAo,https://api.spotify.com/v1/tracks/4Z34RJBzz5r3s0IEwdYPAo,https://api.spotify.com/v1/audio-analysis/4Z34RJBzz5r3s0IEwdYPAo,187400.0,4.0
P-Funk (Wants To Get Funked Up),Parliament,0GIfaHgivfBCV67eYF996A,0.637,0.421,9.0,-14.327,1.0,0.252,0.654,0.0,0.369,0.779,87.507,audio_features,0GIfaHgivfBCV67eYF996A,spotify:track:0GIfaHgivfBCV67eYF996A,https://api.spotify.com/v1/tracks/0GIfaHgivfBCV67eYF996A,https://api.spotify.com/v1/audio-analysis/0GIfaHgivfBCV67eYF996A,461160.0,4.0
Coyote,Joni Mitchell,5fdjxHzBILxMXRrbbOVupJ,0.525,0.555,0.0,-8.739,1.0,0.044,0.847,0.000171,0.0795,0.574,167.036,audio_features,5fdjxHzBILxMXRrbbOVupJ,spotify:track:5fdjxHzBILxMXRrbbOVupJ,https://api.spotify.com/v1/tracks/5fdjxHzBILxMXRrbbOVupJ,https://api.spotify.com/v1/audio-analysis/5fdjxHzBILxMXRrbbOVupJ,301440.0,4.0
"Machine Gun - Live At Filmore East, New York/1970/1997 Digital Remaster",Jimi Hendrix,2l2YAblqvbivu8xx2KaxPB,0.33,0.693,0.0,-7.334,0.0,0.175,0.106,0.182,0.622,0.488,147.946,audio_features,2l2YAblqvbivu8xx2KaxPB,spotify:track:2l2YAblqvbivu8xx2KaxPB,https://api.spotify.com/v1/tracks/2l2YAblqvbivu8xx2KaxPB,https://api.spotify.com/v1/audio-analysis/2l2YAblqvbivu8xx2KaxPB,760933.0,4.0
If You Want Me to Stay,Sly & The Family Stone,2BydLQAh7CUIFvSEqAMc4x,0.843,0.48,11.0,-11.574,0.0,0.0492,0.28,0.000782,0.108,0.762,101.993,audio_features,2BydLQAh7CUIFvSEqAMc4x,spotify:track:2BydLQAh7CUIFvSEqAMc4x,https://api.spotify.com/v1/tracks/2BydLQAh7CUIFvSEqAMc4x,https://api.spotify.com/v1/audio-analysis/2BydLQAh7CUIFvSEqAMc4x,180493.0,4.0
Cause We've Ended as Lovers,Jeff Beck,4zoQ3EqopTIGmK2c2rPV5t,0.549,0.294,0.0,-13.181,0.0,0.0337,0.144,0.798,0.108,0.145,115.294,audio_features,4zoQ3EqopTIGmK2c2rPV5t,spotify:track:4zoQ3EqopTIGmK2c2rPV5t,https://api.spotify.com/v1/tracks/4zoQ3EqopTIGmK2c2rPV5t,https://api.spotify.com/v1/audio-analysis/4zoQ3EqopTIGmK2c2rPV5t,342067.0,4.0
Breathe (In the Air),Pink Floyd,2ctvdKmETyOzPb2GiJJT53,0.431,0.373,11.0,-15.142,0.0,0.0346,0.389,0.728,0.143,0.253,128.153,audio_features,2ctvdKmETyOzPb2GiJJT53,spotify:track:2ctvdKmETyOzPb2GiJJT53,https://api.spotify.com/v1/tracks/2ctvdKmETyOzPb2GiJJT53,https://api.spotify.com/v1/audio-analysis/2ctvdKmETyOzPb2GiJJT53,169535.0,4.0
I've Got My Mojo Working - Live At Newport Jazz Festival/1960,Muddy Waters,2rMh4nCKNONgZ8ZXKmafCg,0.473,0.818,11.0,-7.344,0.0,0.192,0.559,0.0,0.665,0.364,129.481,audio_features,2rMh4nCKNONgZ8ZXKmafCg,spotify:track:2rMh4nCKNONgZ8ZXKmafCg,https://api.spotify.com/v1/tracks/2rMh4nCKNONgZ8ZXKmafCg,https://api.spotify.com/v1/audio-analysis/2rMh4nCKNONgZ8ZXKmafCg,267560.0,4.0
Bodysnatchers,Radiohead,4m0Vgr48VFaMYw0Sp1ozJu,0.343,0.977,2.0,-4.993,1.0,0.0579,0.00455,0.0197,0.0948,0.727,166.664,audio_features,4m0Vgr48VFaMYw0Sp1ozJu,spotify:track:4m0Vgr48VFaMYw0Sp1ozJu,https://api.spotify.com/v1/tracks/4m0Vgr48VFaMYw0Sp1ozJu,https://api.spotify.com/v1/audio-analysis/4m0Vgr48VFaMYw0Sp1ozJu,242293.0,4.0
Can't We Be Friends?,Ella Fitzgerald,2aO5b6UqLQjN8pDeKzZvAF,0.678,0.284,0.0,-13.055,0.0,0.0666,0.518,0.0,0.0936,0.536,111.27,audio_features,2aO5b6UqLQjN8pDeKzZvAF,spotify:track:2aO5b6UqLQjN8pDeKzZvAF,https://api.spotify.com/v1/tracks/2aO5b6UqLQjN8pDeKzZvAF,https://api.spotify.com/v1/audio-analysis/2aO5b6UqLQjN8pDeKzZvAF,227493.0,4.0
Can't We Be Friends?,Louis Armstrong,2aO5b6UqLQjN8pDeKzZvAF,0.678,0.284,0.0,-13.055,0.0,0.0666,0.518,0.0,0.0936,0.536,111.27,audio_features,2aO5b6UqLQjN8pDeKzZvAF,spotify:track:2aO5b6UqLQjN8pDeKzZvAF,https://api.spotify.com/v1/tracks/2aO5b6UqLQjN8pDeKzZvAF,https://api.spotify.com/v1/audio-analysis/2aO5b6UqLQjN8pDeKzZvAF,227493.0,4.0
